Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,2.2584971000330216,0.09037006259579951,0.0,0.03764161833388369,0.0015061677099299918,0.0,0.016602324499027377,0.0,0.12592135331177196,2.1159734222222224,0.0,0.0,0.09037006259579951,0.0,1,0,0,Off,0.0,0,Off,0.005118174342105263,0.0,On,0.011484150156922113,0,On,0.0054279365173725835,0,On,0.12049341679439939,0.09037006259579951,On,0,0,Off,On,2115.9734222222223,21.111111111111143,1.0,0.0,2.1159734222222224,0.0,1,2115.9734222222223,2115.9734222222223,Off,0.0,0.0,33.20165983273005,51.666666666666686,46.10666666666668,0.0,50.90067751924412,0.0,0.0,0.0,33.20165983273005,48.77658426734938,50.90067751924412,47.714537641402,12.43753247303448,20.319133951184288,-0.291977159926855,2.8,1597.1426123275642,-840.9906464326764,-0.0,-0.0,332.087981301858,0.0,3.0,0.03683501748911854,0.0,0,0.5143825701571102,197.99884266666666,-9.928144763839692,0.2233728945996201,9.925213948627688,0.0032436926501128154,52.211092000738454,1.2167738612810721
2025-01-01 00:01:00,2.2584971000330216,0.09037006259579951,0.0,0.03764161833388369,0.0015061677099299918,0.0,0.016602324499027377,0.0,0.12592135331177196,2.1159734222222224,0.0,0.0,0.09037006259579951,0.0,1,0,0,Off,0.0,0,Off,0.005118174342105263,0.0,On,0.011484150156922113,0,On,0.0054279365173725835,0,On,0.12049341679439939,0.09037006259579951,On,0,0,Off,On,2115.9734222222223,21.111111111111143,1.0,0.0,2.1159734222222224,0.0,1,2115.9734222222223,2115.9734222222223,Off,0.0,0.0,33.156898033510366,51.666666666666686,46.10666666666668,0.0,50.897342285869335,0.0,0.0,0.0,33.156898033510366,48.773788522470994,50.897342285869335,47.71201164077182,12.43753247303448,20.354789635746545,-0.25632147536459726,2.8,1592.1888017717592,-843.4717712036125,-0.0,-0.0,332.087981301858,0.0,3.0,0.036868653007629246,0.0,0,0.5148522733265253,197.99884266666666,-12.400830548708578,0.2235510274315218,9.965723164230933,0.00324396395723883,52.08432126283545,1.2201797672936463
2025-01-01 00:02:00,2.2584971000330216,0.09037006259579951,0.0,0.03764161833388369,0.0015061677099299918,0.0,0.016602324499027377,0.0,0.12592135331177196,2.1159734222222224,0.0,0.0,0.09037006259579951,0.0,1,0,0,Off,0.0,0,Off,0.005118174342105263,0.0,On,0.011484150156922113,0,On,0.0054279365173725835,0,On,0.12049341679439939,0.09037006259579951,On,0,0,Off,On,2115.9734222222223,21.111111111111143,1.0,0.0,2.1159734222222224,0.0,1,2115.9734222222223,2115.9734222222223,Off,0.0,0.0,33.11364210827012,51.666666666666686,46.10666666666668,0.0,50.894011184218755,0.0,0.0,0.0,33.11364210827012,48.77099654675871,50.894011184218755,47.709489228028694,12.43753247303448,20.38915485289456,-0.22195625821658282,2.8,1587.3922236460874,-845.865835241893,-0.0,-0.0,332.087981301858,0.0,3.0,0.03690106153528352,0.0,0,0.5153048421831774,197.99884266666666,-14.803344636099956,0.22309547975905816,9.98162382387601,0.003244233850154808,51.961124999184555,1.2200367199303082
2025-01-01 00:03:00,2.2584971000330216,0.09037006259579951,0.0,0.03764161833388369,0.0015061677099299918,0.0,0.016602324499027377,0.0,0.12592135331177196,2.1159734222222224,0.0,0.0,0.09037006259579951,0.0,1,0,0,Off,0.0,0,Off,0.005118174342105263,0.0,On,0.011484150156922113,0,On,0.0054279365173725835,0,On,0.12049341679439939,0.09037006259579951,On,0,0,Off,On,2115.9734222222223,21.111111111111143,1.0,0.0,2.1159734222222224,0.0,1,2115.9734222222223,2115.9734222222223,Off,0.0,0.0,33.07182134176212,51.666666666666686,46.10666666666668,0.0,50.8906840780847,0.0,0.0,0.0,33.07182134176212,48.76820821341046,50.8906840780847,47.706970281073346,12.43753247303448,20.422290253016183,-0.1888208580949602,2.8,1582.7447441821682,-848.1767667999383,-0.0,-0.0,332.087981301858,0.0,3.0,0.03693230130946694,0.0,0,0.5157410899829875,197.99884266666666,-17.139892541973985,0.22265784888053528,9.996867176960984,0.003244503136256423,51.84124742334776,1.2198988168152674
2025-01-01 00:04:00,2.2584971000330216,0.09037006259579951,0.0,0.03764161833388369,0.0015061677099299918,0.0,0.016602324499027377,0.0,0.12592135331177196,2.1159734222222224,0.0,0.0,0.09037006259579951,0.0,1,0,0,Off,0.0,0,Off,0.005118174342105263,0.0,On,0.011484150156922113,0,On,0.0054279365173725835,0,On,0.12049341679439939,0.09037006259579951,On,0,0,Off,On,2115.9734222222223,21.111111111111143,1.0,0.0,2.1159734222222224,0.0,1,2115.9734222222223,2115.9734222222223,Off,0.0,0.0,33.03136908372615,51.666666666666686,46.10666666666668,0.0,50.887360837654604,0.0,0.0,0.0,33.03136908372615,48.765423401578744,50.887360837654604,47.70445468354081,12.43753247303448,20.454252998601255,-0.15685811250988735,2.8,1578.6415353511381,-850.4082797086996,-0.0,-0.0,332.087981301858,0.0,3.0,0.03696242717887501,0.0,0,0.516161782660517,197.99884266666666,-19.01158846424261,0.22223723687492922,10.011483816478933,0.0032447718314692446,51.72453478981577,1.2197658169831453
2025-01-01 00:05:00,2.2584971000330216,0.09037006259579951,0.0,0.03764161833388369,0.0015061677099299918,0.0,0.016602324499027377,0.0,0.12592135331177196,2.1159734222222224,0.0,0.0,0.09037006259579951,0.0,1,0,0,Off,0.0,0,Off,0.005118174342105263,0.0,On,0.011484150156922113,0,On,0.0054279365173725835,0,On,0.12049341679439939,0.09037006259579951,On,0,0,Off,On,2115.9734222222223,21.111111111111143,1.0,0.0,2.1159734222222224,0.0,1,2115.9734222222223,2115.9734222222223,Off,0.0,0.0,32.99220983020732,51.666666666666686,46.10666666666668,0.0,50.884041339143316,0.0,0.0,0.0,32.99220983020732,48.76264199602832,50.884041339143316,47.70194232447083,12.43753247303448,20.485107867300492,-0.12600324381065064,2.8,1575.0723922607656,-852.5646468099355,-0.0,-0.0,332.087981301858,0.0,3.0,0.03699150107439966,0.0,0,0.5165677850496531,197.99884266666666,-20.424364453379184,0.22183265280009826,10.025508317301972,0.003245039950987733,51.610813205354354,1.2196374481688077
2025-01-01 00:06:00,2.2584971000330216,0.09037006259579951,0.0,0.03764161833388369,0.0015061677099299918,0.0,0.016602324499027377,0.0,0.12592135331177196,2.1159734222222224,0.0,0.0,0.09037006259579951,0.0,1,0,0,Off,0.0,0,Off,0.005118174342105263,0.0,On,0.011484150156922113,0,On,0.0054279365173725835,0,On,0.12049341679439939,0.09037006259579951,On,0,0,Off,On,2115.9734222222223,21.111111111111143,1.0,0.0,2.1159734222222224,0.0,1,2115.9734222222223,2115.9734222222223,Off,0.0,0.0,32.95427212353296,51.666666666666686,46.10666666666668,0.0,50.8807254655936,0.0,0.0,0.0,32.95427212353296,48.7598638878818,50.8807254655936,47.6994330990259,12.43753247303448,20.514916165599217,-0.09619494551192531,2.8,1572.0821098717893,-854.6499250738747,-0.0,-0.0,332.087981301858,0.0,3.0,0.03701958156283118,0.0,0,0.5169599150062884,197.99884266666666,-21.329368578416286,0.22144316448262508,10.038973393344135,0.0032453075091765007,51.49991816173988,1.2195134528593028
2025-01-01 00:07:00,2.2584971000330216,0.09037006259579951,0.0,0.03764161833388369,0.0015061677099299918,0.0,0.016602324499027377,0.0,0.12592135331177196,2.1159734222222224,0.0,0.0,0.09037006259579951,0.0,1,0,0,Off,0.0,0,Off,0.005118174342105263,0.0,On,0.011484150156922113,0,On,0.0054279365173725835,0,On,0.12049341679439939,0.09037006259579951,On,0,0,Off,On,2115.9734222222223,21.111111111111143,1.0,0.0,2.1159734222222224,0.0,1,2115.9734222222223,2115.9734222222223,Off,0.0,0.0,32.91748663207595,51.666666666666686,46.10666666666668,0.0,50.8774131065102,0.0,0.0,0.0,32.91748663207595,48.75708897427886,50.8774131065102,47.696926908163185,12.43753247303448,20.543737378549693,-0.06737373256144963,2.8,1568.9248338127538,-856.6680684170166,-0.0,-0.0,332.087981301858,0.0,3.0,0.03704672540993672,0.0,0,0.5173389652359299,197.99884266666666,-22.468501294309934,0.2210678748281543,10.051910768297585,0.003245574519614553,51.391690124004974,1.21939358141006
2025-01-01 00:08:00,2.2584971000330216,0.09037006259579951,0.0,0.03764161833388369,0.0015061677099299918,0.0,0.016602324499027377,0.0,0.12592135331177196,2.1159734222222224,0.0,0.0,0.09037006259579951,0.0,1,0,0,Off,0.0,0,Off,0.005118174342105263,0.0,On,0.011484150156922113,0,On,0.0054279365173725835,0,On,0.12049341679439939,0.09037006259579951,On,0,0,Off,On,2115.9734222222223,21.111111111111143,1.0,0.0,2.1159734222222224,0.0,1,2115.9734222222223,2115.9734222222223,Off,0.0,0.0,32.88181069527174,51.666666666666686,46.10666666666668,0.0,50.87410415766753,0.0,0.0,0.0,32.88181069527174,48.75431715819723,50.87410415766753,47.694423658462085,12.43753247303448,20.57160807419379,-0.039503036917352574,2.8,1565.8977835390672,-858.6214464826517,-0.0,-0.0,332.087981301858,0.0,3.0,0.03707296772676769,0.0,0,0.5177054260468249,197.99884266666666,-23.542173502361543,0.22070620807123184,10.065017065965016,0.0032458409951182667,51.28603073077934,1.21927767959033
2025-01-01 00:09:00,2.2584971000330216,0.09037006259579951,0.0,0.03764161833388369,0.0015061677099299918,0.0,0.016602324499027377,0.0,0.12592135331177196,2.1159734222222224,0.0,0.0,0.09037006259579951,0.0,1,0,0,Off,0.0,0,Off,0.005118174342105263,0.0,On,0.011484150156922113,0,On,0.0054279365173725835,0,On,0.12049341679439939,0.09037006259579951,On,0,0,Off,On,2115.9734222222223,21.111111111111143,1.0,0.0,2.1159734222222224,0.0,1,2115.9734222222223,2115.9734222222223,Off,0.0,0.0,32.84719450420359,51.666666666666686,46.10666666666668,0.0,50.87079851869822,0.0,0.0,0.0,32.84719450420359,48.75154834620692,50.87079851869822,47.691923259961264,12.43753247303448,20.598570968164292,-0.012540142946850352,2.8,1563.0414054467642,-860.5128760595401,-0.0,-0.0,332.087981301858,0.0,3.0,0.037098349355917604,0.0,0,0.5180598677853354,197.99884266666666,-24.507122017775977,0.22035751150632554,10.076961940894845,0.003246106948036798,51.18282531582455,1.2191655678502644
2025-01-01 00:10:00,2.2584971000330216,0.09037006259579951,0.0,0.03764161833388369,0.0015061677099299918,0.0,0.016602324499027377,0.0,0.12592135331177196,2.1159734222222224,0.0,0.0,0.09037006259579951,0.0,1,0,0,Off,0.0,0,Off,0.005118174342105263,0.0,On,0.011484150156922113,0,On,0.0054279365173725835,0,On,0.12049341679439939,0.09037006259579951,On,0,0,Off,On,2115.9734222222223,21.111111111111143,1.0,0.0,2.1159734222222224,0.0,1,2115.9734222222223,2115.9734222222223,Off,0.0,0.0,32.81358943429148,51.666666666666686,46.10666666666668,0.0,50.867496093739376,0.0,0.0,0.0,32.81358943429148,48.74878244907204,50.867496093739376,47.68942562673838,12.43753247303448,20.62466776211509,0.0,2.8,1560.3085656649737,-862.3451190836519,-0.0,-0.0,332.087981301858,0.0,3.0,0.03712291012850293,0.0,0,0.5184028466730533,197.99884266666666,-25.40771877545466,0.22002115297349972,10.089122411156588,0.0032463723901723445,51.08196199113434,1.2190570710517141
2025-01-01 00:11:00,2.2584971000330216,0.09037006259579951,0.0,0.03764161833388369,0.0015061677099299918,0.0,0.016602324499027377,0.0,0.12592135331177196,2.1159734222222224,0.0,0.0,0.09037006259579951,0.0,1,0,0,Off,0.0,0,Off,0.005118174342105263,0.0,On,0.011484150156922113,0,On,0.0054279365173725835,0,On,0.12049341679439939,0.09037006259579951,On,0,0,Off,On,2115.9734222222223,21.111111111111143,1.0,0.0,2.1159734222222224,0.0,1,2115.9734222222223,2115.9734222222223,Off,0.0,0.0,32.78095068542409,51.666666666666686,46.10666666666668,0.0,50.86419679132543,0.0,0.0,0.0,32.78095068542409,48.74601938165118,50.86419679132543,47.68693067681406,12.43753247303448,20.649936874881906,0.0,2.8,1557.673061263075,-864.1207219778147,-0.0,-0.0,332.087981301858,0.0,3.0,0.03714668673360462,0.0,0,0.5187348750546178,197.99884266666666,-26.2676202831906,0.21969655106722202,10.100841952331981,0.0032466373327928685,50.98333768659638,1.2189520278669426
